ocel_event_id;ocel_object_id;ocel_qualifier
load_truck_hu25_complete;hu25;HU loaded
load_truck_hu25_complete;cr13;CR laded
load_truck_hu25_complete;tr5;TR laded
create_td6;co5;TD created for CO
create_td6;td6;created TD
order_crs_td5;td5;ordered for TD
order_crs_td5;cr19;CRs ordered
order_crs_td5;cr20;CRs ordered
collect_hu18_complete;hu18;HU collected
load_truck_hu15_complete;hu15;HU loaded
load_truck_hu15_complete;cr9;CR laded
load_truck_hu15_complete;tr3;TR laded
load_truck_hu18_complete;hu18;HU loaded
load_truck_hu18_complete;cr9;CR laded
load_truck_hu18_complete;tr3;TR laded
collect_hu35_complete;hu35;HU collected
collect_hu28_complete;hu28;HU collected
load_truck_hu35_complete;hu35;HU loaded
load_truck_hu35_complete;cr12;CR laded
load_truck_hu35_complete;tr4;TR laded
collect_hu33_complete;hu33;HU collected
load_truck_hu28_complete;hu28;HU loaded
load_truck_hu28_complete;cr16;CR laded
load_truck_hu28_complete;tr6;TR laded
book_vehs_td6;td6;VHs booked for TD
book_vehs_td6;vh6;booked VHs
collect_hu36_complete;hu36;HU collected
load_truck_hu33_complete;hu33;HU loaded
load_truck_hu33_complete;cr12;CR laded
load_truck_hu33_complete;tr4;TR laded
collect_hu24_complete;hu24;HU collected
load_truck_hu36_complete;hu36;HU loaded
load_truck_hu36_complete;cr12;CR laded
load_truck_hu36_complete;tr4;TR laded
collect_hu31_complete;hu31;HU collected
load_truck_hu24_complete;hu24;HU loaded
load_truck_hu24_complete;cr13;CR laded
load_truck_hu24_complete;tr5;TR laded
collect_hu21_complete;hu21;HU collected
load_truck_hu31_complete;hu31;HU loaded
load_truck_hu31_complete;cr16;CR laded
load_truck_hu31_complete;tr6;TR laded
collect_hu19_complete;hu19;HU collected
load_truck_hu21_complete;hu21;HU loaded
load_truck_hu21_complete;cr13;CR laded
load_truck_hu21_complete;tr5;TR laded
load_truck_hu19_complete;hu19;HU loaded
load_truck_hu19_complete;cr9;CR laded
load_truck_hu19_complete;tr3;TR laded
collect_hu29_complete;hu29;HU collected
collect_hu26_complete;hu26;HU collected
load_truck_hu29_complete;hu29;HU loaded
load_truck_hu29_complete;cr16;CR laded
load_truck_hu29_complete;tr6;TR laded
collect_hu22_complete;hu22;HU collected
load_truck_hu26_complete;hu26;HU loaded
load_truck_hu26_complete;cr13;CR laded
load_truck_hu26_complete;tr5;TR laded
collect_hu38_complete;hu38;HU collected
load_truck_hu22_complete;hu22;HU loaded
load_truck_hu22_complete;cr13;CR laded
load_truck_hu22_complete;tr5;TR laded
load_truck_hu38_complete;hu38;HU loaded
load_truck_hu38_complete;cr12;CR laded
load_truck_hu38_complete;tr4;TR laded
collect_hu30_complete;hu30;HU collected
collect_hu23_complete;hu23;HU collected
load_truck_hu30_complete;hu30;HU loaded
load_truck_hu30_complete;cr16;CR laded
load_truck_hu30_complete;tr6;TR laded
drive_term_cr12_start;cr12;CR moved
drive_term_cr12_start;tr4;TR moved
14566_leave_Supplier Loading Area_tr4;tr4;moved_object
